Analysis,Group,Type,Distance,Time,Subject
Response,Cosine,Real,0.000539643,200,4
Response,Cosine,Real,0.144356503,200,5
Response,Cosine,Real,0.050044329,200,6
Response,Cosine,Real,0.003312335,200,7
Response,Cosine,Real,NaN,200,8
Response,Cosine,Real,0.045375028,200,9
Response,Cosine,Real,0.061188416,200,10
Response,Cosine,Real,0.001840547,200,11
Response,Cosine,Real,0.076312368,200,12
Response,Cosine,Real,0.022748755,200,13
Response,Cosine,Real,0.113840683,250,1
Response,Cosine,Real,0.01100791,250,2
Response,Cosine,Real,0.021399512,250,3
Response,Cosine,Real,0.019424287,250,4
Response,Cosine,Real,0.00312347,250,5
Response,Cosine,Real,0.114834563,250,6
Response,Cosine,Real,0.031874089,250,7
Response,Cosine,Real,0.327724715,250,8
Response,Cosine,Real,0.002038856,250,9
Response,Cosine,Real,0.272220964,250,10
Response,Cosine,Real,0.043824144,250,11
Response,Cosine,Real,0.410070406,250,12
Response,Cosine,Real,0.110767134,250,13
Response,Cosine,Real,0.142195566,300,1
Response,Cosine,Real,0.364920738,300,2
Response,Cosine,Real,0.208659193,300,3
Response,Cosine,Real,0.046637705,300,4
Response,Cosine,Real,NaN,300,5
Response,Cosine,Real,0.000611003,300,6
Response,Cosine,Real,0.110977331,300,7
Response,Cosine,Real,0.128482698,300,8
Response,Cosine,Real,NaN,300,9
Response,Cosine,Real,0.051937925,300,10
Response,Cosine,Real,0.007564634,300,11
Response,Cosine,Real,0.119678364,300,12
Response,Cosine,Real,0.044744146,300,13
Response,Cosine,Sim,0.010892237,50,1
Response,Cosine,Sim,0.004000252,50,2
Response,Cosine,Sim,0.023365042,50,3
Response,Cosine,Sim,0.006442877,50,4
Response,Cosine,Sim,0.009046478,50,5
Response,Cosine,Sim,0.004037572,50,6
Response,Cosine,Sim,0.008715385,50,7
Response,Cosine,Sim,0.00525592,50,8
Response,Cosine,Sim,0.004508557,50,9
Response,Cosine,Sim,0.006564628,50,10
Response,Cosine,Sim,0.009138297,50,11
Response,Cosine,Sim,0.017751287,50,12
Response,Cosine,Sim,0.008282705,50,13
Response,Cosine,Sim,0.01832845,100,1
Response,Cosine,Sim,0.021005621,100,2
Response,Cosine,Sim,0.021299859,100,3
